horizon,variant,candidate,selection_fold,candidate_selection_policy,candidate_selection_fold_count,stability_median_balanced_accuracy,stability_median_macro_f1,stability_balanced_accuracy_std,stability_median_roc_auc,n_samples,accuracy,balanced_accuracy,macro_f1,precision_down,precision_up,recall_down,recall_up,mcc,roc_auc,brier_score,log_loss,expected_calibration_error,threshold,confusion_matrix
1,no_hurst_no_meta,hist_gradient_boosting,wf_05,median_preselection_folds_v2_1,4,0.5066105769230769,0.47735462681606494,0.02327059664562388,0.5196705118651841,579,0.5267702936096719,0.5221507638606642,0.5186944808504441,0.5066079295154186,0.5397727272727273,0.4151624548736462,0.6291390728476821,0.04532917330410356,0.5070050445884238,0.266067125461742,0.7293025439705925,0.10394551495562544,0.45999999999999996,"[[115, 162], [112, 190]]"
1,legacy_hurst_no_meta,logistic_c02,wf_05,median_preselection_folds_v2_1,4,0.5050503692012084,0.477684225387234,0.012910413239018382,0.5096284862790494,579,0.5215889464594128,0.5152413512802736,0.5074791869474292,0.5,0.5333333333333333,0.36823104693140796,0.6622516556291391,0.03187616798411577,0.5015062041265211,0.2561385216998552,0.7057616502720643,0.08311838125330676,0.455,"[[102, 175], [102, 200]]"
1,legacy_hurst_no_meta,logistic_c10,wf_05,median_preselection_folds_v2_1,4,0.5047717251339159,0.4813225361566024,0.015398268954732317,0.5057048866793787,579,0.5233160621761658,0.5188395055825185,0.5156162855549359,0.5021834061135371,0.5371428571428571,0.4151624548736462,0.6225165562913907,0.038493826937794344,0.49936643794678076,0.2573028604879537,0.708203534027028,0.08130578149553491,0.45999999999999996,"[[115, 162], [114, 188]]"
1,legacy_hurst_no_meta,random_forest,wf_05,median_preselection_folds_v2_1,4,0.4848653165482059,0.44352242073212744,0.012998104577715611,0.5045451160008025,579,0.5474956822107081,0.5466504889186411,0.5466504889186411,0.5270758122743683,0.5662251655629139,0.5270758122743683,0.5662251655629139,0.09330097783728214,0.533028904774428,0.25097299391073674,0.695149310391344,0.040557456872171035,0.48,"[[146, 131], [131, 171]]"
1,legacy_hurst_no_meta,extra_trees,wf_05,median_preselection_folds_v2_1,4,0.5104353044751675,0.48378526047963644,0.019390190834786693,0.5171092478218503,579,0.5371329879101899,0.5368661390967557,0.5367336215338316,0.5157894736842106,0.5578231292517006,0.5306859205776173,0.543046357615894,0.07367241626429187,0.5321323546991178,0.2512482430660746,0.6956542753018261,0.048782083975560574,0.475,"[[147, 130], [138, 164]]"
1,legacy_hurst_no_meta,hist_gradient_boosting,wf_05,median_preselection_folds_v2_1,4,0.49514369339676717,0.46555386756472505,0.027003093172009,0.5175870220967558,579,0.5267702936096719,0.5311162646137662,0.5238944108326131,0.5043227665706052,0.5603448275862069,0.631768953068592,0.4304635761589404,0.06343837910475027,0.5168312334138236,0.2639219924220868,0.7251861344904937,0.10118906896437192,0.535,"[[175, 102], [172, 130]]"
5,dfa_hurst_with_meta,logistic_c02,wf_05,median_preselection_folds_v2_1,4,0.5108283630856509,0.4920379112925283,0.03127277896696523,0.5389299900696392,578,0.47750865051903113,0.4953101543265478,0.4280303030303031,0.4694736842105263,0.5145631067961165,0.8168498168498168,0.1737704918032787,-0.0122364199529037,0.46267939710562656,0.2715770665920995,0.7394587827502755,0.14140282042988014,0.645,"[[223, 50], [252, 53]]"
5,dfa_hurst_with_meta,logistic_c10,wf_05,median_preselection_folds_v2_1,4,0.5163315222023102,0.49722183165783207,0.029437585763871038,0.5478207951011504,578,0.5155709342560554,0.49332852939410315,0.40626605033384694,0.43859649122807015,0.5239923224568138,0.09157509157509157,0.8950819672131147,-0.02234223040938511,0.4584879601273044,0.27505518005461177,0.747507691918632,0.15019804685582103,0.36,"[[25, 248], [32, 273]]"
5,dfa_hurst_with_meta,random_forest,wf_05,median_preselection_folds_v2_1,4,0.5146294228982026,0.47487424869803657,0.02206104787296984,0.5326748828785469,578,0.49480968858131485,0.5170840088872876,0.4128059896739358,0.4817658349328215,0.6140350877192983,0.9194139194139194,0.11475409836065574,0.057213002263456915,0.49234372185191855,0.256566783465181,0.7065920491824212,0.09394989062384024,0.5900000000000001,"[[251, 22], [270, 35]]"
5,dfa_hurst_with_meta,extra_trees,wf_05,median_preselection_folds_v2_1,4,0.5193605599502992,0.45247365113663923,0.013942666940857672,0.5590943697453006,578,0.5294117647058824,0.5419924337957125,0.5103647598166234,0.5011933174224343,0.6037735849056604,0.7692307692307693,0.31475409836065577,0.0938915938383574,0.5394703656998738,0.25131827081172875,0.6958339499275119,0.05471096872943091,0.5,"[[210, 63], [209, 96]]"
