horizon,variant,fold_id,candidate,n_validation,balanced_accuracy,macro_f1,roc_auc,train_start_row,train_end_row,validation_start_row,validation_end_row,n_train_raw,n_train,purged_count,embargoed_count
1,no_hurst_no_meta,wf_04,logistic_c02,580,0.5102163461538461,0.510105580693816,0.50703125,40,2059,2061,2640,2021,2020,1,0
1,no_hurst_no_meta,wf_04,logistic_c10,580,0.4939903846153846,0.49370376746981764,0.5056370192307693,40,2059,2061,2640,2021,2020,1,0
1,no_hurst_no_meta,wf_04,random_forest,580,0.5122596153846154,0.4978444930080369,0.5071274038461537,40,2059,2061,2640,2021,2020,1,0
1,no_hurst_no_meta,wf_04,extra_trees,580,0.5277644230769231,0.49153111874761357,0.5178125,40,2059,2061,2640,2021,2020,1,0
1,no_hurst_no_meta,wf_04,hist_gradient_boosting,580,0.5132211538461539,0.5121165479471669,0.5166346153846154,40,2059,2061,2640,2021,2020,1,0
1,no_hurst_no_meta,wf_05,logistic_c02,579,0.495164606593827,0.4911213947481705,0.5026657422239224,40,2639,2641,3219,2601,2600,1,0
1,no_hurst_no_meta,wf_05,logistic_c10,579,0.5001314940110455,0.4965443054995294,0.500872642073302,40,2639,2641,3219,2601,2600,1,0
1,no_hurst_no_meta,wf_05,random_forest,579,0.5151457192722404,0.49666763257026947,0.5202739857030148,40,2639,2641,3219,2601,2600,1,0
1,no_hurst_no_meta,wf_05,extra_trees,579,0.5037953953188132,0.4076308056921016,0.5253066201257561,40,2639,2641,3219,2601,2600,1,0
1,no_hurst_no_meta,wf_05,hist_gradient_boosting,579,0.5168491644153299,0.5163369054154037,0.5070050445884238,40,2639,2641,3219,2601,2600,1,0
1,legacy_hurst_no_meta,wf_01,logistic_c02,580,0.5113026614793399,0.41528790843859337,0.5109516840965604,40,319,321,900,281,280,1,0
1,legacy_hurst_no_meta,wf_01,logistic_c10,580,0.507620373344755,0.44929016711194925,0.5049434272049113,40,319,321,900,281,280,1,0
1,legacy_hurst_no_meta,wf_01,random_forest,580,0.48001808425836695,0.4189061763319189,0.4866331156083806,40,319,321,900,281,280,1,0
1,legacy_hurst_no_meta,wf_01,extra_trees,580,0.4947888781811043,0.4827299523845514,0.4838966817765404,40,319,321,900,281,280,1,0
1,legacy_hurst_no_meta,wf_01,hist_gradient_boosting,580,0.4726178153739991,0.41907051282051283,0.4686678326254298,40,319,321,900,281,280,1,0
1,legacy_hurst_no_meta,wf_02,logistic_c02,580,0.5151710396010071,0.5151602001456907,0.5361348748970899,40,899,901,1480,861,860,1,0
1,legacy_hurst_no_meta,wf_02,logistic_c10,580,0.5210771855722995,0.5208562808294621,0.5291787474197898,40,899,901,1480,861,860,1,0
1,legacy_hurst_no_meta,wf_02,random_forest,580,0.5127310257603417,0.5125831775700934,0.5308730357590292,40,899,901,1480,861,860,1,0
1,legacy_hurst_no_meta,wf_02,extra_trees,580,0.5361766355251697,0.515390156062425,0.5440097361921467,40,899,901,1480,861,860,1,0
