<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.12.17	1195.53	1202.81	1183.40	1188.83	92997	41422850	35
2014.12.18	1188.80	1213.69	1188.66	1197.92	72089	33632255	34
2014.12.19	1197.88	1201.15	1193.39	1195.19	61040	29063060	39
2014.12.22	1194.02	1203.21	1170.48	1175.50	58005	28094650	38
2014.12.23	1176.58	1184.77	1172.47	1175.75	76141	29400300	30
2014.12.24	1176.54	1180.95	1172.71	1174.38	32710	11802400	33
2014.12.26	1186.39	1198.92	1185.31	1195.13	19984	9332456	31
2014.12.29	1196.12	1197.37	1178.82	1182.94	79360	33688100	26
2014.12.30	1182.69	1210.69	1180.63	1200.19	113497	50137590	25
2014.12.31	1199.84	1203.71	1182.63	1188.37	53006	21733000	26
2015.01.02	1186.94	1195.03	1167.33	1188.82	97717	45295200	26
2015.01.05	1187.73	1207.28	1178.00	1204.32	122133	50613483	26
2015.01.06	1202.87	1222.92	1201.52	1218.35	82011	35436894	35
2015.01.07	1217.66	1218.48	1208.85	1210.52	68404	28500364	41
2015.01.08	1210.97	1216.54	1204.42	1208.69	57032	28182020	38
2015.01.09	1207.50	1223.91	1206.16	1222.36	65797	27082586	38
2015.01.12	1223.90	1235.74	1217.40	1233.25	73360	27889264	38
2015.01.13	1231.85	1244.02	1227.14	1230.77	95428	40384474	37
2015.01.14	1231.54	1244.24	1224.89	1228.89	121171	74324358	37
2015.01.15	1229.28	1266.64	1225.87	1262.31	120658	57956569	41
2015.01.16	1262.97	1282.01	1254.87	1280.04	80934	43116020	38
2015.01.19	1278.61	1279.03	1271.89	1276.66	42909	8734700	31
2015.01.21	1294.74	1305.07	1284.48	1293.47	109869	63720616	42
2015.01.22	1291.97	1307.53	1279.29	1301.38	106626	62381206	36
2015.01.23	1300.63	1302.07	1284.29	1293.76	82625	48983229	44
2015.01.26	1294.62	1299.00	1275.71	1281.22	89401	51103015	30
2015.01.27	1280.55	1297.42	1272.07	1292.25	95348	58193572	31
2015.01.28	1292.29	1293.80	1279.57	1284.72	80657	42515744	31
2015.01.29	1284.66	1285.75	1251.88	1257.30	95034	38834151	36
2015.01.30	1258.23	1284.63	1256.95	1283.56	74027	33677473	37
2015.02.02	1280.42	1283.27	1266.30	1274.98	77955	33964013	38
2015.02.03	1274.76	1285.55	1255.38	1259.87	105590	48328829	40
2015.02.04	1261.74	1272.33	1256.54	1269.31	87281	42872114	34
2015.02.05	1270.01	1273.82	1256.18	1264.52	90532	43869153	39
2015.02.06	1266.87	1268.62	1228.21	1233.12	95637	46846008	40
2015.02.09	1237.11	1243.65	1235.04	1239.27	55517	11253850	26
2015.02.10	1238.60	1245.82	1230.84	1233.22	65180	13256000	25
2015.02.11	1234.04	1238.59	1216.41	1217.18	63716	27094906	28
2015.02.12	1218.30	1232.82	1218.02	1222.17	73926	33130470	31
2015.02.13	1223.45	1234.82	1222.71	1228.99	68326	36792505	31
2015.02.16	1228.34	1236.59	1228.02	1230.79	35267	7109000	25
2015.02.17	1231.86	1233.84	1203.64	1209.18	72887	34459379	39
2015.02.18	1208.90	1213.30	1197.42	1211.83	68036	33760639	42
2015.02.19	1212.47	1222.81	1205.25	1206.77	72715	36237516	41
2015.02.20	1207.31	1215.29	1198.19	1201.66	69188	36178940	41
2015.02.23	1202.87	1210.22	1190.61	1201.03	55869	30910037	39
2015.02.24	1202.16	1204.42	1190.30	1199.81	71241	34458614	41
2015.02.25	1201.16	1211.77	1200.99	1204.51	65546	36905388	40
2015.02.26	1204.67	1219.84	1203.49	1209.12	76917	46257236	41
2015.02.27	1209.56	1219.17	1204.34	1212.78	65614	39762915	39
2015.03.02	1213.85	1223.18	1204.54	1206.79	71880	14675500	25
2015.03.03	1205.89	1214.76	1195.34	1203.40	75616	15447950	28
2015.03.04	1204.71	1209.01	1198.21	1200.13	63251	12941300	27
2015.03.05	1200.25	1209.35	1196.35	1198.47	60201	12340200	27
2015.03.06	1199.08	1200.66	1163.81	1167.13	88859	18146680	27
2015.03.09	1168.52	1175.29	1165.66	1166.60	45427	9194400	27
2015.03.10	1161.56	1170.45	1154.93	1161.63	66091	13385000	26
2015.03.11	1162.40	1165.19	1147.42	1154.43	67577	13675850	25
2015.03.12	1154.95	1166.58	1148.57	1153.52	76027	15376150	25
2015.03.13	1154.14	1161.83	1151.32	1158.18	60693	12334310	22
2015.03.16	1156.68	1163.97	1150.23	1154.52	62438	34455600	40
2015.03.17	1154.64	1159.74	1142.70	1149.24	71071	36401748	38
2015.03.18	1149.37	1175.50	1145.84	1167.43	90075	52433199	42
2015.03.19	1167.70	1177.71	1159.49	1170.81	93514	52822300	40
2015.03.20	1170.66	1187.88	1168.65	1182.22	82335	42738889	37
2015.03.23	1185.80	1191.47	1179.23	1189.32	72883	39697105	42
2015.03.24	1189.57	1194.91	1185.34	1193.10	64761	39236173	36
2015.03.25	1192.18	1199.57	1186.52	1195.17	50113	35867445	40
2015.03.26	1195.13	1219.57	1194.39	1204.54	73302	47744852	42
2015.03.27	1204.32	1206.05	1192.45	1198.09	61539	44445723	31
2015.03.30	1197.39	1198.30	1182.23	1185.61	60605	36856200	40
2015.03.31	1186.04	1190.62	1178.29	1183.57	68597	48449783	42
2015.04.01	1183.76	1208.51	1180.74	1204.14	71308	99167907	40
2015.04.02	1203.83	1207.21	1194.75	1202.07	64259	37567223	44
2015.04.03	1201.41	1201.45	1199.64	1199.64	187	187200	76
2015.04.06	1215.64	1224.13	1213.82	1214.39	64905	38793974	44
2015.04.07	1214.56	1215.66	1207.34	1208.91	55668	33407065	43
2015.04.08	1208.49	1212.21	1197.34	1202.03	67118	43338803	43
2015.04.09	1202.79	1203.18	1192.52	1194.15	54080	41006649	41
2015.04.10	1194.59	1210.59	1193.19	1207.24	59690	39116927	39
2015.04.13	1207.15	1209.41	1196.32	1198.39	70491	43029260	41
2015.04.14	1198.93	1201.34	1183.87	1192.30	90844	50876730	43
2015.04.15	1192.77	1204.48	1188.78	1202.35	81129	51004392	42
2015.04.16	1202.37	1209.08	1194.63	1198.23	93585	60451205	37
2015.04.17	1198.92	1207.60	1197.30	1204.27	82165	48284070	39
2015.04.20	1205.29	1209.02	1191.27	1195.69	76852	48586995	40
2015.04.21	1196.64	1204.15	1192.97	1202.05	58186	40933198	25
2015.04.22	1202.45	1204.71	1185.68	1186.88	73714	48104252	22
2015.04.23	1187.53	1197.91	1184.26	1193.80	77614	49978384	32
2015.04.24	1194.03	1195.88	1175.14	1179.24	71395	47271830	30
2015.04.27	1179.54	1207.12	1178.57	1201.79	86334	57477496	31
2015.04.28	1201.77	1214.96	1199.16	1212.06	82779	59635160	30
2015.04.29	1212.17	1213.99	1201.32	1204.92	78816	46749209	26
2015.04.30	1205.37	1207.22	1177.00	1183.97	97740	55357781	27
2015.05.01	1184.55	1185.13	1169.66	1178.40	67626	41505675	31
2015.05.04	1179.89	1192.76	1177.65	1188.28	63292	32633588	38
2015.05.05	1188.30	1199.86	1185.65	1192.83	60501	31020856	32
2015.05.06	1193.37	1197.55	1188.16	1192.01	65582	34316789	36
2015.05.07	1191.51	1192.72	1178.77	1184.22	63976	32957474	35
2015.05.08	1184.15	1193.46	1181.60	1188.38	80920	41046625	28
2015.05.11	1188.64	1191.67	1178.83	1183.66	60876	32556926	23
2015.05.12	1183.82	1196.98	1180.73	1193.65	70032	38593013	31
2015.05.13	1193.35	1218.80	1191.22	1215.69	85419	44649981	33
2015.05.14	1215.14	1227.08	1212.26	1220.86	83993	43926227	33
2015.05.15	1221.20	1226.09	1210.94	1223.78	77268	40926375	37
2015.05.18	1223.74	1232.22	1221.53	1225.35	68208	36502226	23
2015.05.19	1225.29	1225.39	1205.67	1207.63	75362	38587975	33
2015.05.20	1208.53	1213.30	1203.19	1209.74	65451	35024796	32
2015.05.21	1209.34	1212.67	1201.38	1206.03	69744	42828981	28
2015.05.22	1206.27	1214.82	1201.36	1206.26	66112	40694173	30
2015.05.25	1204.88	1209.15	1202.73	1206.55	24986	15743561	25
2015.05.26	1206.48	1207.45	1185.53	1187.18	69773	40505573	31
2015.05.27	1187.16	1190.86	1183.53	1187.98	60957	36441564	27
2015.05.28	1187.41	1192.14	1180.30	1188.13	69227	40197799	30
2015.05.29	1187.83	1193.95	1185.58	1190.42	68364	42840292	27
2015.06.01	1190.47	1204.20	1184.50	1189.15	67199	41917845	26
2015.06.02	1189.12	1196.25	1185.92	1192.77	68701	42250779	28
2015.06.03	1193.30	1195.48	1179.37	1184.81	70355	45212531	26
2015.06.04	1185.22	1186.17	1172.86	1176.43	72095	46878826	29
2015.06.05	1177.14	1178.53	1162.63	1171.52	63942	39015666	26
2015.06.08	1169.98	1177.57	1169.05	1173.78	73659	46165562	25
2015.06.09	1174.09	1182.87	1172.40	1176.79	62860	38612774	31
2015.06.10	1176.78	1192.23	1175.19	1185.85	71533	44296092	24
2015.06.11	1186.50	1187.89	1175.55	1182.04	58556	38197315	28
2015.06.12	1181.71	1183.91	1176.96	1181.47	51919	32234069	24
2015.06.15	1182.17	1190.37	1172.73	1186.11	63610	40688605	29
2015.06.16	1185.69	1187.84	1175.98	1182.04	54648	34155329	28
2015.06.17	1181.79	1189.05	1174.56	1184.82	57742	38058060	29
2015.06.18	1184.22	1205.68	1183.54	1201.95	78952	48734188	33
2015.06.19	1202.07	1204.11	1198.28	1200.19	59800	36141330	31
2015.06.22	1200.69	1200.88	1182.10	1185.78	57493	35372633	32
2015.06.23	1185.66	1188.02	1176.14	1178.42	54363	33209042	35
2015.06.24	1178.51	1180.22	1169.82	1175.07	50909	32422019	32
2015.06.25	1174.88	1178.05	1171.54	1172.74	52058	33528906	31
2015.06.26	1173.71	1178.57	1168.50	1175.18	64773	47058346	32
2015.06.29	1186.25	1187.90	1173.76	1179.32	99179	69078966	33
2015.06.30	1180.04	1180.47	1166.69	1171.83	94345	72837797	27
2015.07.01	1174.14	1175.00	1167.53	1168.48	56887	42080716	25
2015.07.02	1168.35	1169.51	1155.98	1165.63	59037	38058029	27
2015.07.03	1165.68	1170.18	1164.65	1168.58	38511	28273326	25
2015.07.06	1172.00	1174.67	1162.84	1170.05	74428	50280406	24
2015.07.07	1170.33	1170.33	1147.84	1156.74	82425	60948639	25
2015.07.08	1153.25	1164.64	1147.13	1157.40	95010	61352465	26
2015.07.09	1159.08	1167.69	1155.93	1159.73	75095	53280010	26
2015.07.10	1159.63	1165.33	1157.39	1163.59	61457	38404305	25
2015.07.13	1162.73	1164.13	1151.07	1157.78	60970	34529281	31
2015.07.14	1158.07	1159.75	1152.88	1155.35	51921	35120533	28
2015.07.15	1155.65	1156.71	1143.21	1149.34	55067	37763550	26
2015.07.16	1149.02	1149.39	1142.22	1145.23	67261	46880588	29
2015.07.17	1145.08	1145.68	1131.06	1134.23	68800	42950330	27
2015.07.20	1132.56	1133.10	1069.72	1096.70	106589	69704541	29
2015.07.21	1098.26	1109.82	1096.91	1100.92	76602	46713831	27
2015.07.22	1102.66	1103.33	1087.02	1094.01	80466	47356978	24
2015.07.23	1094.43	1105.72	1087.23	1090.63	82598	43336335	24
2015.07.24	1091.23	1101.48	1077.20	1099.08	105882	60422071	26
2015.07.27	1095.58	1104.93	1088.34	1094.13	91614	53931141	28
2015.07.28	1094.68	1098.94	1091.55	1095.23	68617	40737284	29
2015.07.29	1095.09	1101.89	1090.36	1096.78	83814	54666318	28
2015.07.30	1096.11	1098.57	1082.47	1088.53	79155	38890837	27
2015.07.31	1088.65	1103.46	1079.98	1095.48	87334	46218943	24
2015.08.03	1095.72	1097.68	1085.79	1086.66	78529	45055072	29
2015.08.04	1085.32	1094.78	1080.94	1087.61	85679	48701076	26
2015.08.05	1087.31	1092.48	1082.92	1084.77	85935	60934619	29
2015.08.06	1084.82	1094.00	1083.46	1089.33	79616	53788191	31
2015.08.07	1089.77	1099.43	1082.74	1094.17	96112	67301205	28
2015.08.10	1093.04	1108.84	1089.58	1104.43	84692	61704334	29
2015.08.11	1104.32	1119.32	1093.75	1108.75	112515	84907077	27
2015.08.12	1108.83	1125.75	1101.74	1123.91	120939	90243270	29
2015.08.13	1125.26	1126.71	1113.60	1115.09	87464	65117959	27
2015.08.14	1115.18	1121.01	1111.69	1114.82	80491	59144143	28
2015.08.17	1114.70	1122.74	1113.48	1117.34	76335	56100375	26
2015.08.18	1117.40	1121.12	1109.63	1117.49	82628	61918710	28
2015.08.19	1118.00	1134.56	1116.24	1134.19	98777	70452071	29
2015.08.20	1133.46	1153.95	1132.58	1152.08	110294	82724615	24
2015.08.21	1153.80	1168.16	1148.91	1160.54	121955	89312622	25
2015.08.24	1164.32	1170.01	1145.63	1154.97	176042	130590255	30
2015.08.25	1153.47	1156.53	1134.58	1140.50	133208	104643201	30
2015.08.26	1140.32	1146.36	1117.68	1124.77	131153	99620090	28
2015.08.27	1125.89	1129.19	1118.23	1124.56	127737	94949648	27
2015.08.28	1125.45	1140.76	1123.72	1134.02	121671	86745000	29
2015.08.31	1133.77	1136.56	1125.64	1134.71	91804	67118628	31
2015.09.01	1134.60	1147.85	1134.31	1139.97	104063	76825057	0
2015.09.02	1139.71	1142.36	1132.03	1133.78	95659	70089695	29
2015.09.03	1133.68	1134.24	1121.83	1125.11	80486	61078000	27
2015.09.04	1125.09	1132.86	1116.72	1122.33	82854	62245048	25
2015.09.07	1122.99	1124.73	1116.04	1118.94	54303	40137551	30
2015.09.08	1120.17	1126.67	1118.58	1121.27	81389	58235927	29
2015.09.09	1121.64	1125.32	1101.23	1107.35	92344	67955608	25
2015.09.10	1106.98	1114.97	1103.79	1110.37	93059	66183717	27
2015.09.11	1111.03	1112.83	1098.71	1107.68	74422	53321379	31
2015.09.14	1107.44	1110.40	1103.46	1108.77	63897	46203069	27
2015.09.15	1108.47	1109.31	1102.15	1105.24	53198	38101577	28
2015.09.16	1105.26	1124.11	1103.92	1119.15	91657	62929371	24
2015.09.17	1119.21	1135.13	1115.35	1132.34	95941	72508047	0
2015.09.18	1130.88	1141.68	1127.47	1139.04	108457	74690669	31
2015.09.21	1139.11	1139.81	1129.56	1133.30	63532	44456625	26
2015.09.22	1132.95	1136.51	1121.28	1124.30	81592	62304126	29
2015.09.23	1124.80	1134.14	1121.79	1129.98	70573	49927775	29
2015.09.24	1130.72	1156.65	1130.31	1153.98	116270	78652271	27
2015.09.25	1149.55	1151.14	1140.71	1145.56	107930	78518822	27
2015.09.28	1145.33	1148.14	1127.95	1132.17	105853	76224870	24
2015.09.29	1132.01	1134.63	1124.17	1127.11	93689	68693157	27
2015.09.30	1127.25	1128.08	1111.30	1114.47	103649	74273408	27
2015.10.01	1115.56	1119.13	1110.99	1113.52	79819	58539178	24
2015.10.02	1113.48	1141.21	1104.59	1138.72	111053	70255889	24
2015.10.05	1136.78	1141.92	1130.06	1135.43	97787	62520043	24
2015.10.06	1135.63	1151.18	1134.92	1146.97	81553	55582421	24
2015.10.07	1146.93	1153.57	1141.72	1145.32	82711	61774994	24
2015.10.08	1145.09	1151.21	1136.56	1139.07	86977	62214117	18
2015.10.09	1138.96	1159.61	1138.91	1156.53	94980	65951602	24
2015.10.12	1155.83	1168.90	1154.73	1163.78	66859	47470444	18
2015.10.13	1163.52	1168.60	1151.74	1168.09	97325	66659258	24
2015.10.14	1168.08	1189.70	1163.35	1184.58	103600	73996997	24
2015.10.15	1184.54	1191.44	1174.23	1182.70	97094	72225440	24
2015.10.16	1182.06	1184.34	1174.24	1177.14	93245	67559649	24
2015.10.19	1176.54	1178.13	1167.59	1170.20	81620	60303217	24
2015.10.20	1170.01	1180.67	1167.31	1176.35	83433	57887409	24
2015.10.21	1176.19	1179.13	1163.61	1166.95	93387	67475718	22
2015.10.22	1167.62	1171.72	1162.55	1165.43	102747	71654937	24
2015.10.23	1166.00	1179.29	1158.88	1164.37	112174	79554466	24
2015.10.26	1162.90	1169.59	1162.04	1163.00	82136	59497532	24
2015.10.27	1163.79	1168.63	1160.73	1166.50	81801	54191553	20
2015.10.28	1167.11	1182.86	1152.26	1155.77	112193	77327325	24
2015.10.29	1157.37	1162.59	1144.63	1145.78	118823	79957123	24
2015.10.30	1145.64	1149.97	1139.23	1141.74	113135	78140899	24
2015.11.02	1141.45	1142.94	1131.75	1133.46	92777	62439438	24
2015.11.03	1133.72	1138.25	1114.33	1117.61	101549	68652821	24
2015.11.04	1118.11	1122.76	1106.35	1107.51	110560	72283777	24
2015.11.05	1107.94	1111.45	1102.90	1103.57	93864	67461357	24
2015.11.06	1104.55	1110.38	1085.39	1088.62	88325	63255512	24
2015.11.09	1090.33	1095.59	1088.31	1091.95	90911	61816823	24
2015.11.10	1092.27	1094.79	1085.22	1089.60	78402	53572570	24
2015.11.11	1089.88	1093.58	1083.63	1085.84	81301	55593287	24
2015.11.12	1086.50	1089.52	1074.08	1084.90	100179	66398338	24
2015.11.13	1085.00	1088.54	1079.57	1083.54	112851	75949073	24
2015.11.16	1088.11	1098.01	1081.06	1082.68	110988	78436750	24
2015.11.17	1083.85	1085.01	1065.44	1070.06	107652	75365154	24
2015.11.18	1071.57	1075.39	1064.64	1070.87	113223	75616756	24
2015.11.19	1071.57	1087.38	1069.46	1082.04	113813	75828291	24
2015.11.20	1081.90	1088.01	1075.76	1077.98	109573	82581759	24
2015.11.23	1076.15	1076.65	1066.62	1068.92	112286	76616244	24
2015.11.24	1069.07	1081.01	1068.93	1075.31	104757	68919866	24
2015.11.25	1075.69	1080.74	1067.83	1071.10	83010	54311273	24
2015.11.26	1071.18	1074.80	1069.60	1071.65	49265	30767997	24
2015.11.27	1071.76	1073.73	1052.67	1058.04	75931	54356067	24
2015.11.30	1058.29	1069.68	1053.13	1064.37	87131	53126700	24
2015.12.01	1064.81	1074.58	1063.18	1069.24	88831	59203998	24
2015.12.02	1068.87	1071.36	1050.58	1053.49	96810	67447317	24
2015.12.03	1053.84	1065.39	1046.23	1062.10	134210	84376567	24
2015.12.04	1063.35	1088.78	1058.07	1086.76	144622	91121606	24
2015.12.07	1084.82	1086.55	1066.11	1070.76	131150	84289047	24
2015.12.08	1070.96	1079.03	1067.57	1074.52	125801	80153084	24
2015.12.09	1074.53	1085.30	1069.29	1072.67	125041	87266618	24
2015.12.10	1072.20	1076.42	1069.35	1071.21	116928	76769091	24
2015.12.11	1071.75	1079.53	1062.36	1074.66	129556	91039718	24
2015.12.14	1073.72	1077.48	1058.53	1060.12	112737	77040980	24
2015.12.15	1061.16	1068.60	1058.89	1060.80	111635	69136685	24
2015.12.16	1061.21	1078.27	1060.83	1072.18	108314	64029948	24
2015.12.17	1071.97	1072.84	1047.58	1051.55	117110	77547248	24
2015.12.18	1050.92	1071.49	1050.84	1065.85	103210	70498922	24
2015.12.21	1066.16	1081.71	1063.91	1078.28	101161	65433090	24
2015.12.22	1078.06	1080.69	1071.69	1072.60	88689	57077564	24
2015.12.23	1072.87	1075.43	1068.26	1070.20	74958	50041021	24
2015.12.24	1070.36	1076.74	1070.02	1076.05	56102	32746707	24
2015.12.28	1075.86	1076.86	1066.37	1068.90	87797	61608517	24
2015.12.29	1068.80	1075.17	1067.43	1068.62	92881	55106529	24
2015.12.30	1069.01	1072.01	1059.33	1061.08	63758	42273974	0
2015.12.31	1061.37	1063.46	1058.13	1060.91	65469	41647211	24
2016.01.04	1064.88	1083.44	1061.66	1074.43	146168	84194847	24
2016.01.05	1073.15	1081.90	1072.56	1078.07	124692	73250314	24
2016.01.06	1077.75	1095.13	1074.89	1093.01	138043	80639263	24
2016.01.07	1093.59	1110.01	1091.33	1108.93	185177	119648301	24
2016.01.08	1108.62	1113.12	1091.78	1103.85	165997	114617793	24
2016.01.11	1107.40	1108.42	1094.20	1095.40	144178	90442854	24
2016.01.12	1095.19	1099.14	1083.41	1089.48	143643	96419261	24
2016.01.13	1087.48	1095.40	1079.71	1093.65	138239	88949537	24
2016.01.14	1093.24	1095.15	1071.33	1077.18	154005	104642604	24
2016.01.15	1078.22	1097.34	1076.20	1088.72	164366	105557122	24
2016.01.18	1090.14	1093.22	1087.47	1088.88	108815	69358458	24
2016.01.19	1089.43	1094.45	1082.45	1087.18	169169	110976991	24
2016.01.20	1087.77	1109.56	1087.52	1100.83	190135	108379635	24
2016.01.21	1100.93	1104.44	1092.36	1101.16	193393	121860775	24
2016.01.22	1101.12	1102.78	1093.97	1097.78	149487	93944959	0
2016.01.25	1097.73	1108.88	1097.13	1107.67	128236	78481640	0
2016.01.26	1108.26	1122.84	1106.91	1120.09	138683	80889441	0
2016.01.27	1119.87	1127.94	1114.81	1124.76	137199	82232433	0
2016.01.28	1125.57	1125.75	1111.49	1114.28	133401	80891601	24
2016.01.29	1115.33	1118.38	1108.32	1117.99	138404	80361159	24
2016.02.01	1115.86	1129.65	1115.86	1128.37	139905	91562792	24
2016.02.02	1128.08	1131.00	1122.25	1128.62	128083	82289988	24
2016.02.03	1128.12	1145.45	1124.33	1142.34	181192	113969209	24
2016.02.04	1141.56	1157.29	1139.51	1155.36	203585	130933765	24
2016.02.05	1155.50	1174.40	1145.15	1173.06	186487	122883656	24
2016.02.08	1168.46	1200.81	1164.23	1190.02	190763	114709290	24
2016.02.09	1190.68	1198.82	1185.59	1188.76	194216	119514134	24
2016.02.10	1189.41	1197.65	1181.40	1197.41	182466	124830695	24
2016.02.11	1196.72	1263.34	1196.72	1248.70	185283	122716349	24
2016.02.12	1247.92	1248.19	1232.37	1238.13	165315	104473238	24
2016.02.15	1232.00	1234.76	1202.13	1209.07	94178	56870970	24
2016.02.16	1209.06	1216.90	1190.80	1199.53	172139	114509478	24
2016.02.17	1202.54	1213.66	1195.60	1208.31	172778	117545105	24
2016.02.18	1208.01	1239.84	1200.64	1230.65	170619	104926585	24
2016.02.19	1231.06	1234.44	1219.87	1227.29	140207	97646710	24
2016.02.22	1224.92	1226.16	1201.83	1208.42	113870	73429722	24
2016.02.23	1209.07	1228.10	1207.10	1226.44	101351	69040308	24
2016.02.24	1227.03	1253.24	1221.76	1229.17	149975	101306697	24
2016.02.25	1226.79	1242.71	1221.04	1233.20	166869	120735622	24
2016.02.26	1232.34	1240.25	1211.39	1223.32	120019	83236496	24
2016.02.29	1218.98	1241.00	1217.23	1238.30	136668	90575658	24
2016.03.01	1239.05	1248.47	1227.10	1231.57	143242	96649736	18
2016.03.02	1231.35	1243.98	1224.68	1240.09	114608	80838856	24
2016.03.03	1241.45	1268.24	1237.34	1265.51	150269	109862019	24
2016.03.04	1262.38	1279.71	1250.43	1258.78	159469	115322874	24
2016.03.07	1259.79	1273.10	1256.65	1267.22	135619	88282054	24
2016.03.08	1266.42	1278.04	1260.15	1261.50	128480	86521306	24
2016.03.09	1261.61	1264.88	1242.91	1252.88	108836	81651700	24
2016.03.10	1252.70	1273.27	1236.99	1271.98	119537	80771463	24
2016.03.11	1269.91	1283.36	1248.16	1249.23	115894	85895528	22
2016.03.14	1251.44	1261.01	1229.30	1235.00	76556	54162083	24
2016.03.15	1235.18	1238.00	1225.60	1232.44	87463	64122909	24
2016.03.16	1232.78	1263.86	1226.64	1262.04	110458	77508996	24
2016.03.17	1259.46	1270.84	1254.33	1257.72	145518	100837753	24
2016.03.18	1258.68	1266.88	1247.78	1255.04	112531	78129727	24
2016.03.21	1254.55	1255.32	1240.54	1243.44	86977	61499206	24
2016.03.22	1243.57	1260.12	1242.31	1248.00	98128	65596365	24
2016.03.23	1247.72	1249.31	1215.31	1220.13	82257	63940529	22
2016.03.24	1222.61	1223.71	1211.95	1217.12	70495	52438295	24
2016.03.28	1214.30	1223.05	1208.15	1221.34	53591	42096245	24
2016.03.29	1220.80	1242.90	1215.24	1240.72	87832	65066849	24
2016.03.30	1241.41	1243.99	1223.18	1224.46	71663	47842857	24
2016.03.31	1225.85	1240.32	1223.75	1232.44	70316	42947893	24
2016.04.01	1231.56	1235.21	1208.93	1222.16	85293	65569708	24
2016.04.04	1220.30	1222.54	1214.56	1215.55	65611	48687168	24
2016.04.05	1215.70	1236.74	1214.69	1230.47	77987	54437385	24
2016.04.06	1230.41	1232.10	1216.64	1222.03	77187	60355884	24
2016.04.07	1222.95	1243.19	1222.64	1240.60	91066	60124538	24
2016.04.08	1239.37	1242.60	1229.54	1240.49	76674	57629628	24
2016.04.11	1244.78	1258.78	1243.93	1257.51	94207	71745412	24
2016.04.12	1256.15	1262.54	1251.11	1255.41	79903	60987893	24
2016.04.13	1255.62	1256.63	1239.71	1243.16	81251	58928278	24
2016.04.14	1242.43	1244.04	1223.77	1226.33	91796	68279584	24
2016.04.15	1227.36	1235.79	1225.20	1233.73	70227	50638608	24
2016.04.18	1234.66	1241.55	1230.04	1232.57	76137	59467127	24
2016.04.19	1231.77	1256.62	1227.66	1250.21	89050	56585005	24
2016.04.20	1249.69	1257.91	1242.34	1243.70	83005	59853599	24
2016.04.21	1243.77	1270.19	1242.78	1248.77	104691	71640523	14
2016.04.22	1247.66	1252.48	1227.32	1232.73	93741	68197412	24
2016.04.25	1232.22	1242.23	1229.94	1237.50	71029	51879825	24
2016.04.26	1237.83	1244.79	1231.27	1243.68	65550	55450744	22
2016.04.27	1242.81	1252.65	1239.34	1245.98	79779	77274543	15
2016.04.28	1245.40	1269.47	1237.68	1266.29	96276	69892613	24
2016.04.29	1265.94	1296.62	1264.91	1293.68	96260	74812175	24
2016.05.02	1292.65	1303.65	1287.56	1291.24	99573	85225652	24
2016.05.03	1292.09	1301.69	1282.19	1286.33	102238	85069093	24
2016.05.04	1285.54	1289.74	1271.71	1279.71	98352	76324451	20
2016.05.05	1279.62	1286.37	1268.79	1278.09	96196	73584762	24
2016.05.06	1277.49	1295.47	1274.38	1288.80	102388	74610613	24
2016.05.09	1284.19	1287.46	1261.21	1263.09	97003	72420823	24
2016.05.10	1264.03	1269.61	1256.78	1266.15	91871	70421653	24
2016.05.11	1266.06	1279.02	1264.72	1277.12	87560	64628869	24
2016.05.12	1277.49	1280.78	1261.78	1263.42	93154	74639910	19
2016.05.13	1264.09	1276.26	1262.88	1273.30	90666	69340509	24
2016.05.16	1272.72	1288.62	1270.92	1273.62	92709	71277876	24
2016.05.17	1274.08	1282.27	1269.02	1279.26	94512	73289625	24
2016.05.18	1280.28	1281.27	1254.97	1257.88	103039	84100564	24
2016.05.19	1258.63	1261.23	1243.66	1254.20	100952	78773244	24
2016.05.20	1255.67	1260.12	1248.74	1251.91	82646	63225307	24
2016.05.23	1250.34	1255.94	1243.08	1249.00	78212	62606635	24
2016.05.24	1248.74	1252.09	1226.19	1226.70	86416	71186997	24
2016.05.25	1227.47	1230.08	1217.74	1224.33	84697	68704164	24
2016.05.26	1223.38	1234.17	1218.30	1219.62	86862	68355782	24
2016.05.27	1220.13	1223.50	1206.67	1211.64	80518	59196682	17
2016.05.30	1212.93	1213.36	1199.62	1207.40	62275	51340429	24
2016.05.31	1207.08	1218.15	1207.03	1215.08	83400	63183232	24
2016.06.01	1216.02	1220.32	1205.91	1212.57	73712	57605489	24
2016.06.02	1212.84	1217.57	1209.75	1211.03	80205	64955577	24
2016.06.03	1210.32	1244.59	1206.85	1244.51	95631	70933431	24
2016.06.06	1244.00	1248.65	1239.92	1244.89	85410	68013175	24
2016.06.07	1244.94	1246.53	1234.72	1244.29	69612	54056927	21
2016.06.08	1244.63	1264.31	1242.98	1261.84	80598	59344033	24
2016.06.09	1261.60	1271.68	1256.74	1269.32	73697	59460063	21
2016.06.10	1269.28	1278.09	1264.51	1274.07	79722	65498089	24
2016.06.13	1274.69	1287.09	1272.35	1283.87	91171	70441259	24
2016.06.14	1283.26	1289.73	1276.31	1285.87	76419	56835696	24
2016.06.15	1284.83	1296.76	1278.38	1291.51	83156	64680980	24
2016.06.16	1293.17	1315.54	1277.97	1278.75	137515	104770521	24
2016.06.17	1278.98	1299.50	1276.48	1298.55	92427	67142673	24
