<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.04.27	1506.25	1530.00	1502.80	1526.65	18203	0	50
2011.04.28	1528.30	1538.20	1523.78	1535.75	17125	0	50
2011.04.29	1535.13	1569.00	1531.50	1563.30	15433	0	50
2011.05.02	1547.25	1575.13	1538.85	1545.05	19236	0	50
2011.05.03	1538.93	1550.85	1527.00	1535.55	29298	0	50
2011.05.04	1535.72	1542.95	1505.90	1515.82	32536	0	50
2011.05.05	1517.50	1521.80	1462.35	1473.90	42383	0	50
2011.05.06	1473.62	1498.10	1470.90	1495.00	39330	0	50
2011.05.09	1494.25	1513.70	1489.80	1512.85	31069	0	50
2011.05.11	1515.90	1526.37	1495.60	1501.45	30165	0	50
2011.05.12	1499.93	1507.75	1478.08	1506.30	28782	0	50
2011.05.13	1506.20	1516.30	1482.70	1494.60	27193	0	50
2011.05.16	1490.50	1504.26	1487.10	1489.60	19289	0	50
2011.05.17	1490.50	1497.50	1471.68	1485.20	21095	0	50
2011.05.18	1487.15	1499.60	1484.75	1496.15	19117	0	50
2011.05.19	1496.93	1499.50	1486.15	1493.40	22276	0	50
2011.05.20	1494.80	1515.65	1486.78	1512.85	30150	0	50
2011.05.23	1512.15	1518.75	1503.80	1516.15	31318	0	50
2011.05.24	1517.15	1527.50	1513.05	1525.86	28901	0	50
2011.05.25	1525.89	1532.10	1520.95	1524.75	25571	0	50
2011.05.26	1526.25	1530.80	1514.50	1519.15	23919	0	50
2011.05.27	1519.55	1538.15	1519.45	1535.96	13241	0	50
2011.05.30	1535.95	1539.00	1534.05	1537.95	4742	0	50
2011.05.31	1538.40	1540.45	1532.15	1535.60	10067	0	50
2011.06.01	1535.05	1549.88	1529.20	1539.38	12673	0	50
2011.06.02	1540.35	1544.15	1519.55	1533.15	21289	0	50
2011.06.03	1533.25	1545.43	1523.85	1542.15	22351	0	50
2011.06.06	1541.90	1553.43	1540.15	1544.60	19128	0	50
2011.06.07	1544.40	1549.90	1536.00	1543.55	21188	0	50
2011.06.08	1544.60	1546.15	1530.80	1537.00	18384	0	50
2011.06.09	1537.83	1549.30	1533.00	1543.85	16216	0	50
2011.06.10	1544.70	1545.20	1525.90	1531.12	16432	0	50
2011.06.13	1528.83	1532.58	1510.83	1515.70	18680	0	50
2011.06.14	1515.13	1525.95	1511.97	1523.60	16027	0	50
2011.06.15	1524.85	1534.33	1513.93	1530.60	20462	0	50
2011.06.16	1530.10	1532.73	1521.60	1529.25	35796	0	50
2011.06.17	1529.00	1541.90	1522.40	1539.38	36176	0	50
2011.06.20	1539.70	1546.68	1532.84	1540.33	29359	0	50
2011.06.21	1539.60	1547.95	1538.53	1545.64	26662	0	50
2011.06.22	1546.90	1557.86	1541.09	1548.82	32433	0	50
2011.06.23	1546.98	1548.58	1512.73	1521.22	45425	0	50
2011.06.24	1522.45	1525.38	1498.37	1502.29	42159	0	50
2011.06.27	1498.70	1505.23	1490.96	1498.17	76104	0	50
2011.06.28	1497.14	1506.17	1495.63	1500.86	69010	0	50
